"market_id","gu","gu_code","name","submarkets_draft","core_stations","core_streets_nodes","market_type_labels","market_type_codes","core_consumers_hypothesis","bakery_priority","boundary_type","boundary_confidence","numeric_data_status","field_survey_required","checked_at"
"SEOUL-JUNG-DONGDAEMUN-FASHION","중구","JUNG","동대문패션타운권","DDP·두타·평화시장·광희동","동대문역사문화공원·동대문","을지로·장충단로","쇼핑몰형|외국인 관광형|야간형","MALL|FOREIGN|NIGHT","관광객·도매상인·야간 방문객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNG-SEOULSTN","중구","JUNG","서울역권","서울역 동측·서소문·만리동 연결축","서울역","세종대로·통일로·퇴계로","환승거점형|오피스형|관광형","TRANSIT|OFFICE_MIXED|TOURISM","철도 이용객·직장인·관광객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNG-CITYHALL-BUKCHANG","중구","JUNG","시청·북창권","서울시청·덕수궁·북창동·무교동","시청","세종대로·무교로·북창동길","대형 오피스형|관광형|야간형","OFFICE_LARGE|TOURISM|NIGHT","직장인·관광객·회식 수요","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNG-SINDANG-YAKSU","중구","JUNG","신당·약수권","신당동 떡볶이타운·중앙시장·약수역","신당·약수","다산로·퇴계로","주거생활형|전통시장형|트렌드 목적형","RESIDENTIAL|MARKET|TREND","지역 거주민·젊은 목적 방문객·시장 이용객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-ITAEWON","용산구","YONGSAN","이태원권","이태원역·세계음식거리·앤틱가구거리","이태원","이태원로·보광로","외국인 관광형|야간형|먹자골목형","FOREIGN|NIGHT|DINING_CLUSTER","외국인·관광객·야간 방문객·데이트 고객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-HANNAM","용산구","YONGSAN","한남권","한남오거리·한남동 카페거리·리움미술관 연결축","한강진","이태원로·독서당로","프리미엄 주거형|문화형|트렌드 목적형","PREMIUM_RESIDENTIAL|CULTURE|TREND","고소득 거주민·문화 목적 방문객·외국인","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-HAEBANGCHON-GYEONGNIDAN","용산구","YONGSAN","해방촌·경리단권","신흥시장·해방촌오거리·경리단길","녹사평","소월로·신흥로·회나무로","골목상권형|관광형|공원·산책형","ALLEY|TOURISM|PARK","관광객·외국인·청년 거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-YONGLIDAN-SINYONGSAN","용산구","YONGSAN","용리단길·신용산권","신용산역 동측·용리단길·삼각지역","신용산·삼각지","한강대로·한강로","트렌드 목적형|오피스형|골목상권형","TREND|OFFICE_MIXED|ALLEY","직장인·청년 목적 방문객·거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-YONGSANSTN","용산구","YONGSAN","용산역권","용산역·아이파크몰·전자상가","용산","한강대로·청파로","환승거점형|쇼핑몰형|오피스형","TRANSIT|MALL|OFFICE_MIXED","철도 이용객·쇼핑객·직장인","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-NAMYEONG-SOOKMYUNG","용산구","YONGSAN","남영·숙대권","남영역·숙대입구·숙명여대 정문","남영·숙대입구","한강대로·청파로","대학가형|오피스형|먹자골목형","UNIVERSITY|OFFICE_MIXED|DINING_CLUSTER","대학생·직장인·지역 거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YONGSAN-HYOCHANG-HUAM","용산구","YONGSAN","효창·후암권","효창공원앞·후암시장·서울역 남부","효창공원앞·서울역","백범로·후암로","주거생활형|공원·산책형|역세권형","RESIDENTIAL|PARK|TRANSIT","거주민·산책객·철도 이용객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGDONG-SEONGSU","성동구","SEONGDONG","성수권","연무장길·성수역 북측·성수역 남측·아뜰리에길·뚝섬 연결축","성수·뚝섬","연무장길·성수이로·아차산로","트렌드 목적형|오피스형|관광형|골목상권형","TREND|OFFICE_MIXED|TOURISM|ALLEY","직장인·관광객·목적 방문객·거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGDONG-SEOULFOREST","성동구","SEONGDONG","서울숲권","서울숲·아크로서울포레스트·서울숲 카페거리","서울숲·뚝섬","서울숲2길·왕십리로","공원·산책형|프리미엄 주거형|관광형","PARK|PREMIUM_RESIDENTIAL|TOURISM","가족·데이트 고객·고소득 거주민·관광객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGDONG-WANGSIMNI","성동구","SEONGDONG","왕십리권","왕십리역·비트플렉스·행당시장 연결축","왕십리","왕십리광장로·고산자로","환승거점형|쇼핑몰형|주거생활형","TRANSIT|MALL|RESIDENTIAL","환승객·대학생·거주민·직장인","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGDONG-HAENGDANG-HANYANG","성동구","SEONGDONG","행당·한양대권","한양대 정문·행당시장·왕십리 남측","한양대·왕십리","왕십리로·마조로","대학가형|주거생활형|먹자골목형","UNIVERSITY|RESIDENTIAL|DINING_CLUSTER","대학생·교직원·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGDONG-GEUMHO-OKSU","성동구","SEONGDONG","금호·옥수권","금호역·옥수역·독서당로 주거축","금호·옥수","독서당로·동호로","주거생활형|역세권형|한강·수변형","RESIDENTIAL|TRANSIT|WATERFRONT","고소득 거주민·가족·통근객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGDONG-MAJANG","성동구","SEONGDONG","마장권","마장축산물시장·마장역·청계천 북측","마장","마장로·고산자로","전통시장형|산업형|주거생활형","MARKET|INDUSTRIAL|RESIDENTIAL","시장 상인·식음 목적 방문객·거주민","중","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GWANGJIN-KONKUK","광진구","GWANGJIN","건대입구권","건대입구역·건대 맛의거리·커먼그라운드","건대입구","아차산로·동일로·능동로","대학가형|먹자골목형|야간형|쇼핑형","UNIVERSITY|DINING_CLUSTER|NIGHT|MALL","대학생·20대·야간 방문객·쇼핑객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GWANGJIN-GUI-GANGBYEON","광진구","GWANGJIN","구의·강변권","구의역·강변역·테크노마트·동서울터미널","구의·강변","아차산로·강변역로","환승거점형|쇼핑몰형|주거생활형","TRANSIT|MALL|RESIDENTIAL","터미널 이용객·직장인·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GWANGJIN-JAYANG","광진구","GWANGJIN","자양권","자양전통시장·뚝섬한강공원 연결 주거축","자양·건대입구","자양로·뚝섬로","주거생활형|전통시장형|한강·수변형","RESIDENTIAL|MARKET|WATERFRONT","거주민·가족·한강 이용객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GWANGJIN-CHILDRENSPARK-SEJONG","광진구","GWANGJIN","어린이대공원·세종대권","어린이대공원·세종대·능동로","어린이대공원","능동로·광나루로","대학가형|공원·산책형|가족형","UNIVERSITY|PARK|FAMILY","대학생·가족·공원 방문객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GWANGJIN-GUNJA-JUNGGOK","광진구","GWANGJIN","군자·중곡권","군자역·중곡제일시장·용마산 남측 생활권","군자·중곡","천호대로·능동로","역세권형|주거생활형|전통시장형","TRANSIT|RESIDENTIAL|MARKET","거주민·직장인·환승객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DONGDAEMUN-CHEONGNYANGNI","동대문구","DONGDAEMUN","청량리권","청량리역·롯데백화점·청량리시장","청량리","왕산로·홍릉로","환승거점형|전통시장형|쇼핑형","TRANSIT|MARKET|MALL","환승객·시장 이용객·거주민·고령층","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DONGDAEMUN-HOEGI-KYUNGHEE","동대문구","DONGDAEMUN","회기·경희대권","회기역·경희대 정문·경희대로","회기","회기로·경희대로","대학가형|의료형|먹자골목형","UNIVERSITY|MEDICAL|DINING_CLUSTER","대학생·교직원·병원 방문객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DONGDAEMUN-HUFS-IMUN","동대문구","DONGDAEMUN","외대앞·이문권","외대앞역·한국외대 정문·이문동","외대앞","이문로·휘경로","대학가형|외국인 생활형|주거생활형","UNIVERSITY|FOREIGN|RESIDENTIAL","대학생·외국인 학생·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DONGDAEMUN-JANGAN-DAPSIMNI","동대문구","DONGDAEMUN","장안·답십리권","장안동 사거리·답십리역·자동차부품상가축","장한평·답십리","천호대로·장한로","주거생활형|산업형|역세권형","RESIDENTIAL|INDUSTRIAL|TRANSIT","거주민·자동차산업 종사자·직장인","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DONGDAEMUN-JEONNONG","동대문구","DONGDAEMUN","전농권","전농사거리·전농동 아파트단지·청량리 남측","청량리","전농로·답십리로","주거생활형|가족형","RESIDENTIAL|FAMILY","가족·거주민·통근객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DONGDAEMUN-JEGI-YONGDU-SINSEOL","동대문구","DONGDAEMUN","제기·용두·신설권","경동시장·서울약령시장·신설동역","제기동·용두·신설동","왕산로·무학로","전통시장형|의료형|환승거점형","MARKET|MEDICAL|TRANSIT","시장 이용객·고령층·환승객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNGNANG-SANGBONG","중랑구","JUNGNANG","상봉권","상봉역·코스트코·상봉터미널 일대","상봉","망우로·상봉로","환승거점형|쇼핑형|주거생활형","TRANSIT|MALL|RESIDENTIAL","환승객·쇼핑객·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNGNANG-MANGU","중랑구","JUNGNANG","망우권","망우역·우림시장·망우로 생활축","망우","망우로·용마산로","주거생활형|전통시장형|역세권형","RESIDENTIAL|MARKET|TRANSIT","거주민·시장 이용객·통근객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNGNANG-MYEONMOK-SAGAJUNG","중랑구","JUNGNANG","면목·사가정권","사가정역·면목시장·용마산 서측","사가정·면목","사가정로·면목로","주거생활형|전통시장형|가족형","RESIDENTIAL|MARKET|FAMILY","거주민·가족·학생","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNGNANG-SINNAE","중랑구","JUNGNANG","신내권","신내역·신내지구·봉화산역 주거권","신내·봉화산","신내로·봉화산로","대단지 주거형|역세권형","APARTMENT|TRANSIT","가족·거주민·통근객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-JUNGNANG-JUNGHWA","중랑구","JUNGNANG","중화권","중화역·중랑천·태릉시장 생활권","중화","동일로·중랑천로","주거생활형|공원·산책형|역세권형","RESIDENTIAL|PARK|TRANSIT","거주민·산책객·통근객","중","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGBUK-SUNGSHIN","성북구","SEONGBUK","성신여대권","성신여대입구역·성신여대 로데오·돈암시장","성신여대입구","동소문로·보문로","대학가형|쇼핑형|먹자골목형","UNIVERSITY|MALL|DINING_CLUSTER","대학생·20대 여성·거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGBUK-ANAM-KOREAUNIV","성북구","SEONGBUK","안암·고대권","고려대 정문·안암역·고대병원","안암·고려대","안암로·개운사길","대학가형|의료형|주거생활형","UNIVERSITY|MEDICAL|RESIDENTIAL","대학생·교직원·병원 방문객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGBUK-GIREUM","성북구","SEONGBUK","길음권","길음역·길음뉴타운·미아사거리 남측","길음","동소문로·삼양로","대단지 주거형|가족형|역세권형","APARTMENT|FAMILY|TRANSIT","대단지 거주민·가족·학부모","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGBUK-HANSUNG-SEONGBUK","성북구","SEONGBUK","한성대·성북동권","한성대입구역·성북동길·성곽길","한성대입구","성북로·동소문로","대학가형|문화형|공원·산책형","UNIVERSITY|CULTURE|PARK","대학생·문화 목적 방문객·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGBUK-SEOKGYE-JANGWI","성북구","SEONGBUK","석계·장위권","석계역·장위뉴타운·돌곶이역","석계·돌곶이","화랑로·한천로","환승거점형|대단지 주거형","TRANSIT|APARTMENT","환승객·대단지 거주민·가족","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEONGBUK-JEONGNEUNG","성북구","SEONGBUK","정릉권","정릉시장·국민대·북한산 입구","정릉","정릉로·보국문로","주거생활형|대학가형|공원·산책형","RESIDENTIAL|UNIVERSITY|PARK","거주민·대학생·등산객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GANGBUK-SUYU","강북구","GANGBUK","수유권","수유역·수유 먹자골목·강북구청","수유","도봉로·노해로","역세권형|먹자골목형|주거생활형","TRANSIT|DINING_CLUSTER|RESIDENTIAL","거주민·직장인·야간 방문객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GANGBUK-MIASAGEORI","강북구","GANGBUK","미아사거리권","미아사거리역·롯데백화점·도봉로 교차축","미아사거리","도봉로·월계로","쇼핑형|역세권형|대단지 주거형","MALL|TRANSIT|APARTMENT","쇼핑객·대단지 거주민·환승객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GANGBUK-MIA-BEON","강북구","GANGBUK","미아·번동권","미아역·번동사거리·북서울꿈의숲 서측","미아","도봉로·오현로","주거생활형|가족형|역세권형","RESIDENTIAL|FAMILY|TRANSIT","거주민·가족·통근객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-GANGBUK-UI-BUKHANSAN","강북구","GANGBUK","우이·북한산권","북한산우이역·우이동 계곡·솔밭공원","북한산우이·솔밭공원","삼양로·우이동길","공원·산책형|관광형|목적방문형","PARK|TOURISM|DESTINATION","등산객·관광객·가족·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DOBONG-CHANGDONG","도봉구","DOBONG","창동권","창동역·창동민자역사 예정권·하나로마트축","창동","도봉로·노해로","환승거점형|대단지 주거형|개발거점형","TRANSIT|APARTMENT|DEVELOPMENT","환승객·거주민·공연 방문객 잠재수요","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DOBONG-SSANGMUN","도봉구","DOBONG","쌍문권","쌍문역·쌍리단길·도봉보건소 남측","쌍문","도봉로·노해로","주거생활형|골목상권형|역세권형","RESIDENTIAL|ALLEY|TRANSIT","거주민·청년층·통근객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DOBONG-BANGHAK","도봉구","DOBONG","방학권","방학역·도깨비시장·도봉구청","방학","도봉로·방학로","주거생활형|전통시장형|가족형","RESIDENTIAL|MARKET|FAMILY","거주민·시장 이용객·가족","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-DOBONG-DOBONGSAN","도봉구","DOBONG","도봉산권","도봉산역·도봉산 등산로 입구","도봉산","도봉산길·도봉로","공원·산책형|관광형|역세권형","PARK|TOURISM|TRANSIT","등산객·주말 방문객·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-NOWON-NOWONSTN","노원구","NOWON","노원역권","노원역·롯데백화점·문화의거리","노원","동일로·노해로","대형 역세권형|쇼핑형|야간형","TRANSIT|MALL|NIGHT","쇼핑객·청년층·거주민·야간 방문객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-NOWON-GONGNEUNG","노원구","NOWON","공릉권","공릉역·공리단길·서울과기대","공릉","동일로·공릉로","대학가형|골목상권형|주거생활형","UNIVERSITY|ALLEY|RESIDENTIAL","대학생·청년 거주민·가족","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-NOWON-JUNGGYE-ACADEMY","노원구","NOWON","중계은행사거리권","은행사거리 학원가·중계동 아파트단지","중계","한글비석로·덕릉로","학원가형|대단지 주거형|가족형","ACADEMY|APARTMENT|FAMILY","학생·학부모·가족","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-NOWON-TAEREUNG","노원구","NOWON","태릉입구권","태릉입구역·먹골역·묵동 생활축","태릉입구·먹골","동일로·화랑로","환승거점형|주거생활형","TRANSIT|RESIDENTIAL","환승객·거주민·직장인","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-NOWON-SANGGYE","노원구","NOWON","상계권","상계역·상계중앙시장·수락산 남측","상계","한글비석로·덕릉로","주거생활형|전통시장형|공원·산책형","RESIDENTIAL|MARKET|PARK","거주민·가족·등산객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-NOWON-WOLGYE-KWANGWOON","노원구","NOWON","월계·광운대권","광운대역·월계동 아파트·석계역 북측","광운대·월계","광운로·석계로","대학가형|주거생활형|개발거점형","UNIVERSITY|RESIDENTIAL|DEVELOPMENT","대학생·거주민·환승객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-EUNPYEONG-YEONSINNAE","은평구","EUNPYEONG","연신내권","연신내역·로데오거리·연서시장","연신내","통일로·연서로","환승거점형|먹자골목형|전통시장형","TRANSIT|DINING_CLUSTER|MARKET","환승객·거주민·야간 방문객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-EUNPYEONG-BULGWANG","은평구","EUNPYEONG","불광권","불광역·NC백화점·불광천 북측","불광","통일로·불광로","환승거점형|주거생활형|공원·산책형","TRANSIT|RESIDENTIAL|PARK","거주민·환승객·등산객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-EUNPYEONG-EUNGAM-SAEJEOL","은평구","EUNPYEONG","응암·새절권","응암오거리·새절역·불광천 카페축","새절·응암","증산로·응암로","주거생활형|공원·산책형|가족형","RESIDENTIAL|PARK|FAMILY","거주민·가족·산책객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-EUNPYEONG-GUPABAL-NEWTOWN","은평구","EUNPYEONG","구파발·은평뉴타운권","구파발역·롯데몰·은평뉴타운","구파발","통일로·진관로","대단지 주거형|쇼핑몰형|가족형","APARTMENT|MALL|FAMILY","대단지 거주민·가족·쇼핑객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-EUNPYEONG-NOKBEON-SUSAEK","은평구","EUNPYEONG","녹번·수색권","녹번역·은평구청·수색역·DMC 서측","녹번·수색","통일로·수색로","주거생활형|오피스 연계형|역세권형","RESIDENTIAL|OFFICE_MIXED|TRANSIT","거주민·직장인·통근객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEODAEMUN-SINCHON","서대문구","SEODAEMUN","신촌권","신촌역·연세로·신촌기차역 연결축","신촌","연세로·신촌로","대학가형|먹자골목형|의료형","UNIVERSITY|DINING_CLUSTER|MEDICAL","대학생·청년층·병원 방문객·야간 고객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEODAEMUN-EWHA","서대문구","SEODAEMUN","이대권","이대역·이화여대 정문·대현문화공원","이대","이화여대길·신촌로","대학가형|쇼핑형|관광형","UNIVERSITY|MALL|TOURISM","대학생·여성 고객·관광객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEODAEMUN-YEONHUI","서대문구","SEODAEMUN","연희권","연희동 사러가 주변·연희맛로·연남 북측","홍대입구(버스 연계)","연희로·연희맛로","프리미엄 주거형|골목상권형|목적방문형","PREMIUM_RESIDENTIAL|ALLEY|DESTINATION","거주민·외식 목적 방문객·가족","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEODAEMUN-HONGJE","서대문구","SEODAEMUN","홍제권","홍제역·인왕시장·유진상가","홍제","통일로·세검정로","역세권형|전통시장형|주거생활형","TRANSIT|MARKET|RESIDENTIAL","거주민·시장 이용객·통근객","중상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEODAEMUN-GAJWA-NAMGAJWA","서대문구","SEODAEMUN","가좌·남가좌권","가좌역·명지대·DMC 북측 주거축","가좌","수색로·증가로","대학가형|주거생활형|오피스 연계형","UNIVERSITY|RESIDENTIAL|OFFICE_MIXED","대학생·거주민·가족","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-SEODAEMUN-DONGNIMUN-YEONGCHEON","서대문구","SEODAEMUN","독립문·영천시장권","독립문역·서대문형무소·영천시장","독립문","통일로·영천시장길","관광형|전통시장형|주거생활형","TOURISM|MARKET|RESIDENTIAL","관광객·거주민·시장 이용객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-HONGDAE","마포구","MAPO","홍대권","홍대입구역·걷고싶은거리·서교동 클럽거리","홍대입구","양화로·홍익로·어울마당로","외국인 관광형|대학가형|야간형|트렌드 목적형","FOREIGN|UNIVERSITY|NIGHT|TREND","관광객·외국인·대학생·야간 방문객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-YEONNAM","마포구","MAPO","연남권","연트럴파크·연남동 골목·동진시장","홍대입구","동교로·성미산로","관광형|골목상권형|공원·산책형","TOURISM|ALLEY|PARK","관광객·데이트 고객·청년 거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-HAPJEONG","마포구","MAPO","합정권","합정역·메세나폴리스·양화진","합정","양화로·독막로","역세권형|쇼핑몰형|오피스형","TRANSIT|MALL|OFFICE_MIXED","직장인·쇼핑객·공연 방문객·거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-MANGWON","마포구","MAPO","망원권","망원시장·망리단길·한강공원 연결축","망원","포은로·망원로","전통시장형|골목상권형|한강·수변형","MARKET|ALLEY|WATERFRONT","거주민·관광객·한강 이용객","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-SANGSU","마포구","MAPO","상수권","상수역·홍대 서측·당인리 문화공간","상수","독막로·와우산로","대학가형|골목상권형|야간형","UNIVERSITY|ALLEY|NIGHT","대학생·문화 목적 방문객·야간 고객","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-GONGDEOK-MAPO","마포구","MAPO","공덕·마포권","공덕역·마포역·도화동 오피스축","공덕·마포","마포대로·백범로","대형 오피스형|환승거점형|주거복합형","OFFICE_LARGE|TRANSIT|OFFICE_MIXED","직장인·환승객·거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-DAEHEUNG-SOGANG","마포구","MAPO","대흥·서강대권","대흥역·서강대·광흥창역","대흥·광흥창","백범로·서강로","대학가형|주거생활형|오피스 연계형","UNIVERSITY|RESIDENTIAL|OFFICE_MIXED","대학생·직장인·거주민","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-MAPO-SANGAM-DMC","마포구","MAPO","상암DMC권","디지털미디어시티·월드컵경기장·하늘공원","디지털미디어시티·월드컵경기장","월드컵북로·성암로","대형 오피스형|경기장형|공원·산책형","OFFICE_LARGE|EVENT_SPORTS|PARK","미디어 직장인·행사 방문객·가족","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YANGCHEON-MOKDONG-OGEORI","양천구","YANGCHEON","목동오거리권","목동오거리·목동로데오·목동역","목동","목동로·신정중앙로","학원가형|주거생활형|먹자골목형","ACADEMY|RESIDENTIAL|DINING_CLUSTER","거주민·학부모·학생·직장인","상","프레임원 분석권역","D","미수집","true","2026-08-26"
"SEOUL-YANGCHEON-OMOKGYO","양천구","YANGCHEON","오목교권","오목교역·현대백화점·목동운동장 남측","오목교","목동동로·오목로","쇼핑몰형|오피스형|프리미엄 주거형","MALL|OFFICE_MIXED|PREMIUM_RESIDENTIAL","쇼핑객·직장인·고소득 거주민","최상","프레임원 분석권역","D","미수집","true","2026-08-26"
